gene.name	gene.description	gene.family
Solyc07g062150	NAD kinase (AHRD V3.3 *** F2Z9R6_NICBE)	
Solyc07g062300	NHL domain-containing protein (AHRD V3.3 *** A0A1Q3AYA6_CEPFO)	
Solyc07g062430	Polynucleotide 3'-phosphatase ZDP (AHRD V3.3 *** A0A1U8HCK7_CAPAN)	
Solyc07g062520	Cytochrome (AHRD V3.11 *** tr|A0A2G2WF27|A0A2G2WF27_CAPBA)	
Solyc07g062543	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (AHRD V3.11 *** tr|A0A318R3I0|A0A318R3I0_9STAP)	
Solyc07g062580	TPR repeat-containing thioredoxin TT.1	
Solyc07g062590	Hexosyltransferase (AHRD V3.3 *** A0A2G3BCF8_CAPCH)	
Solyc07g062630	ABC transporter G family member 10 (AHRD V3.3 *** A0A2G2Z509_CAPAN)	
Solyc07g062640	hypothetical protein (AHRD V3.3 *-* AT2G31130.6)	
Solyc07g062650	Malate dehydrogenase (AHRD V3.3 *** Q645N1_SOLLC)	
Solyc07g062660	transcription factor GTE4-like (AHRD V3.3 *** A0A1U8HCK4_CAPAN)	
Solyc07g062750	Polynucleotidyl transferase%2C ribonuclease H-like superfamily protein (AHRD V3.3 *** AT3G15140.1)	
Solyc07g062770	Tat-binding-like protein 7 (AHRD V3.3 *** A0A2G3C1P2_CAPCH)	
Solyc07g062780	E3 SUMO-protein ligase MMS.1	
Solyc07g062870	30S ribosomal protein S20, chloroplastic (AHRD V3.3 *** A0A2G3C1Q1_CAPCH)	
Solyc07g062930	Ribosomal L.1	
Solyc07g062950	Serine/threonine-protein kinase WNK (With No Lysine)-related protein (AHRD V3.3 *** A0A2U1Q468_ARTAN)	
Solyc07g063120	Protein SPA1-RELATED 3 (AHRD V3.3 *** A0A2G2VZ51_CAPBA)	
Solyc07g063200	E3 ubiquitin-protein ligase rma1h1-like protein (AHRD V3.3 *** A0A2K3P2S4_TRIPR)	
Solyc07g063240	Silencing defective 5 (AHRD V3.3 *** A0A2U1N7R2_ARTAN)	
Solyc07g063250	HrpN-interacting protein from malus protein (AHRD V3.3 *** AT3G15395.5)	
Solyc07g063290	Transcription factor TFIIIC, tau55-related protein (AHRD V3.3 *** A0A2U1Q9K0_ARTAN)	
Solyc07g063310	LanC-like protein GCR2 (AHRD V3.3 *** A0A2G3C2B6_CAPCH)	
Solyc07g063390	Beta-glucosidase 16 (AHRD V3.3 *** A0A2G2WEV4_CAPBA)	
Solyc07g063510	Cystathionine beta-lyase family involved in aluminum resistance (AHRD V3.3 *** A0A2P6V7F0_9CHLO)	
Solyc07g063540	hypothetical protein (AHRD V3.3 *** AT2G20820.1)	
Solyc07g063550	Arf GTPase activating protein (AHRD V3.3 *** A0A200RBV9_9MAGN)	
Solyc07g063600	Chlorophyll a-b binding protein, chloroplastic (AHRD V3.3 *** A0A2G3C388_CAPCH)	
Solyc07g063610	Dynein light chain (AHRD V3.11 *** tr|A0A2G3C370|A0A2G3C370_CAPCH)	
Solyc07g063650	Ubiquitin carboxyl-terminal hydrolase (AHRD V3.3 *** A0A2G2Z5A0_CAPAN)	
Solyc07g063680	Adenine nucleotide alpha hydrolases-like superfamily protein (AHRD V3.11 *** tr|A0A1P8BH78|A0A1P8BH78_ARATH)	
Solyc07g063740	Ferredoxin-like protein (AHRD V3.3 *** F8WLD0_CITUN)	
Solyc07g063820	G-type lectin S-receptor-like serine/threonine-protein kinase (AHRD V3.3 *** A0A2G2Z5Q1_CAPAN)	
Solyc07g063850	IAA-amido synthetase 3-9	
Solyc07g063900	RNA binding protein (AHRD V3.3 *-* B6U487_MAIZE)	
Solyc07g063930	Organic cation/carnitine transporter 4 (AHRD V3.3 *-* A0A2G2WG88_CAPBA)	
Solyc07g064080	amino-terminal region of chorein (AHRD V3.3 *** AT3G20720.2)	
Solyc07g064090	fertilization-independent endosperm protein	
Solyc07g064130	Polyubiquitin (AHRD V3.3 *** F1SY21_MESCR)	
Solyc07g064230	Ypt/Rab-GAP domain of gyp1p superfamily protein (AHRD V3.3 *** F4JIR5_ARATH)	
Solyc07g064280	Tryptophan synthase beta chain (AHRD V3.3 *** B2J8R2_NOSP7)	
Solyc07g064340	Serine/threonine-protein kinase PB.1	
Solyc07g064380	Aminotransferase-like, plant mobile domain-containing protein (AHRD V3.3 *** A0A124SHR6_CYNCS)	
Solyc07g064410	Fatty acid desaturase 4, chloroplastic (AHRD V3.3 *** A0A1U8FLY9_CAPAN)	
Solyc07g064470	Protein FATTY ACID EXPORT 5 (AHRD V3.3 *** A0A1U8FKN4_CAPAN)	
Solyc07g064490	CRS2-associated factor 2, mitochondrial (AHRD V3.11 *** tr|A0A2G2Z5G3|A0A2G2Z5G3_CAPAN)	
Solyc07g064520	RNA helicase DEAD24	
Solyc07g064550	Polyadenylate-binding protein interacting protein (AHRD V3.3 *** Q93V36_ARATH)	
Solyc07g064560	AT hook motif-containing protein (AHRD V3.3 *-* A0A2K3PS21_TRIPR)	
Solyc07g064590	inducible plastid-lipid associated protein	
Solyc07g064620	Protein translation factor SUI1-like protein (AHRD V3.3 *** A0A1U8FM10_CAPAN)	
Solyc07g064710	Tetraacyldisaccharide 4'-kinase (AHRD V3.3 *** A0A200QBG8_9MAGN)	
Solyc07g064810	Imidazole glycerol phosphate synthase hisHF (AHRD V3.3 *** A0A2G2WFL7_CAPBA)	
Solyc07g064830	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic (AHRD V3.3 *** A0A2G2WFE8_CAPBA)	
Solyc07g064900	DUF3537 domain-containing protein (AHRD V3.3 *** A0A1Q3D045_CEPFO)	
Solyc07g064950	Trigger factor (AHRD V3.3 *** A0A200RBE3_9MAGN)	
Solyc07g065000	PHD finger protein (AHRD V3.3 *** A0A2G2X6I5_CAPBA)	
Solyc07g065020	Serine/threonine-protein phosphatase (AHRD V3.3 *** A0A1U8HJH5_CAPAN)	
Solyc07g065080	Fimbrin-3 (AHRD V3.3 *** A0A2G3C2R5_CAPCH)	
Solyc07g065120	Glycerophosphodiester phosphodiesterase GDPDL4 (AHRD V3.3 *** A0A2G2Z5P4_CAPAN)	
Solyc07g065400	Mitochondrial import inner membrane translocase subunit TIM50 (AHRD V3.3 *-* A0A2G3BC84_CAPCH)	
Solyc07g065460	UPA24 (AHRD V3.3 *-* C8YZB6_CAPAN)	
Solyc07g065470	Cysteine synthase (AHRD V3.3 *** B6U9G4_MAIZE)	
Solyc07g065540	Fasciclin-like arabinogalactan protein (AHRD V3.3 *** A0A2R6P548_ACTCH)	
Solyc07g065600	Inner centromere protein, ARK-binding region protein (AHRD V3.3 *-* A0A1P8BE82_ARATH)	
Solyc07g065640	RPM1-interacting protein 4 (AHRD V3.3 *** A0A2G3CUK4_CAPCH)	
Solyc07g065660	Cellulose synthase-like protein E1 (AHRD V3.11 *** tr|A0A2G2Z684|A0A2G2Z684_CAPAN)	
Solyc07g065710	Protein kinase G11A (AHRD V3.3 *** A0A2G2WFE7_CAPBA)	
Solyc07g065720	complex 1 protein%2C LYR family protein Chr5:21110716-21111116 FORWARD LENGTH=103 201606 (AHRD V3.11 *** AT5G51960.2)	
Solyc07g065730	Pentatricopeptide repeat (AHRD V3.3 *** A0A200R9Y9_9MAGN)	
Solyc07g065760	Coiled-coil protein (AHRD V3.3 *** F4I1X8_ARATH)	
Solyc07g065820	Calcineurin B-like protein (AHRD V3.3 *** C3TRS0_MAIZE)	
Solyc07g065850	Vesicle transport protein (AHRD V3.3 *** A0A2G3C2D6_CAPCH)	
Solyc07g065880	Kinesin K.1	
Solyc07g065950	enhancer of mRNA-decapping protein 4-like (AHRD V3.3 *-* A0A2I4F2H1_9ROSI)	
Solyc07g065970	Chaperone protein DnaJ (AHRD V3.3 *** A0A2G3C2H4_CAPCH)	
Solyc07g066150	Photosystem I reaction center subunit V, chloroplastic (AHRD V3.3 *** A0A1U8HDK9_CAPAN)	
Solyc07g066180	P-loop containing nucleoside triphosphate hydrolases superfamily protein (AHRD V3.3 *** AT5G56220.2)	
Solyc07g066190	PR.1	
Solyc07g066210	Chloride channel protein (AHRD V3.3 *** Q9ARC6_SOLLC)	
Solyc07g066270	6-phosphogluconolactonase (AHRD V3.11 *** tr|A6MD23|A6MD23_ORYBR)	
Solyc07g066280	Release factor glutamine methyltransferase (AHRD V3.3 *** A0A1J3GKD1_NOCCA)	
Solyc07g066340	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (AHRD V3.3 *** AT1G16650.1)	
Solyc07g066350	serine/arginine repetitive matrix-like protein (AHRD V3.3 *** AT1G56020.1)	
Solyc07g066390	Pentatricopeptide repeat (AHRD V3.3 *** A0A200QE10_9MAGN)	
Solyc07g066410	WD repeat-containing protein 75 (AHRD V3.11 *** tr|A0A2I4H3K8|A0A2I4H3K8_9ROSI)	
Solyc07g066460	Protein Iojap/ribosomal silencing factor RsfS (AHRD V3.3 *** A0A200R040_9MAGN)	
Solyc07g066560	Small auxin up-regulated RNA65	
Solyc08g005150	RBR-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2XWS5_CAPAN)	
Solyc08g005220	Plastid lipid-associated protein chloroplastic-like (AHRD V3.11 *** tr|A0A2K3PR63|A0A2K3PR63_TRIPR)	
Solyc08g005335	Unknown protein	
Solyc08g005420	cell division cycle 20.2, cofactor of APC complex-like (AHRD V3.3 *** A0A2I4FBA0_9ROSI)	
Solyc08g005500	NBS-LRR protein (AHRD V3.3 *** Q9SM52_SOLAC)	
Solyc08g005560	transglutaminase family protein (AHRD V3.3 *** AT4G19160.2)	
Solyc08g005590	SWIb domain-containing protein (AHRD V3.11 *** tr|Q6V9I4|Q6V9I4_SOLCH)	
Solyc08g005610	Cytochrome P450 (AHRD V3.3 *** A0A200R6R4_9MAGN)	
Solyc08g005630	Long-chain-alcohol oxidase (AHRD V3.3 *** R9R6I9_SOLLC)	
Solyc08g005640	Terpene synthase (AHRD V3.3 *** G5CV51_SOLLC)	
Solyc08g005700	Unknown protein	
Solyc08g005880	Protein DETOXIFICATION (AHRD V3.3 *** A0A200QTG9_9MAGN)	
Solyc08g005970	Protein arginine N-methyltransferase (AHRD V3.3 *** A0A1U8FFB2_CAPAN)	
Solyc08g005980	High-affinity nickel-transport family protein (AHRD V3.3 *** F4JM82_ARATH)	
Solyc08g006000	keratin-associated protein (DUF1218) (AHRD V3.3 *** AT4G31130.1)	
Solyc08g006010	WD-40 repeat containing protein (AHRD V3.3 *** A0A0K0XR07_TOBAC)	
Solyc08g006050	Embryo defective 1303 (AHRD V3.3 *-* A8MS46_ARATH)	
Solyc08g006100	plant/protein (Protein of unknown function%2C DUF599) Chr5:3347511-3348657 FORWARD LENGTH=246 201606 (AHRD V3.11 *** AT5G10580.4)	
Solyc08g006487	GDSL esterase/lipase (AHRD V3.3 *** A0A199UFA2_ANACO)	
Solyc08g006510	Rossmann-fold NAD(P)-binding domain-containing protein (AHRD V3.3 *** G5DW32_SILLA)	
Solyc08g006550	Rop guanine nucleotide exchange factor 5 (AHRD V3.3 *** A0A1U8H3J1_CAPAN)	
Solyc08g006590	protein ENHANCED DISEASE RESISTANCE 2-like (AHRD V3.11 *** tr|A0A2I4G6J8|A0A2I4G6J8_9ROSI)	
Solyc08g006640	monogalactosyldiacylglycerol synthase, chloroplastic (AHRD V3.3 *** A0A2I4G6M8_9ROSI)	
Solyc08g006880	ABC transporter (AHRD V3.3 *** A0A200R061_9MAGN)	
Solyc08g006890	Tubulin alpha chain (AHRD V3.3 *** A0A1U8GD16_CAPAN)	
Solyc08g006907	Unknown protein	
Solyc08g006970	Plant intracellular Ras-group-related LRR protein (AHRD V3.11 *** tr|A0A2R6PDI6|A0A2R6PDI6_ACTCH)	
Solyc08g007000	Protein phosphatase 2C (AHRD V3.3 *** A0A2U1P5P3_ARTAN)	
Solyc08g007060	Protein NRT1/ PTR FAMILY 7.3 (AHRD V3.3 *** A0A2G3BPK6_CAPCH)	
Solyc08g007100	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein (AHRD V3.3 *** A0A2U1KV95_ARTAN),Pfam:PF13419	
Solyc08g007120	SBP (S-ribonuclease binding protein) family protein (AHRD V3.3 *** Q8LCK5_ARATH)	
Solyc08g007180	Chlorophyll A-B binding protein (AHRD V3.3 *** A0A200RAS0_9MAGN)	
Solyc08g007210	Transferase domain-containing protein (AHRD V3.11 *** tr|A0A1Q3AZY6|A0A1Q3AZY6_CEPFO)	
Solyc08g007240	Nudix hydrolase 8 (AHRD V3.3 *** A0A1U8EVF7_CAPAN)	
Solyc08g007300	Cyclin-D-binding Myb-like transcription factor.1	
Solyc08g007310	Exostosin-like (AHRD V3.3 *** A0A200PV90_9MAGN)	
Solyc08g007320	Tryptophan RNA-binding attenuator protein-like protein (AHRD V3.3 *** A0A2U1LYZ7_ARTAN)	
Solyc08g007330	DNA mismatch repair protein MutS (AHRD V3.3 *** A0A200Q639_9MAGN)	
Solyc08g007340	Protein transport protein sec16 (AHRD V3.3 *** A0A2G3AP26_CAPAN)	
Solyc08g007370	RNA-binding protein (AHRD V3.3 *-* A0A1Y1IGF8_KLENI)	
Solyc08g007375	Unknown protein	
Solyc08g007590	Bile acid:sodium symporter (AHRD V3.3 *** A0A200QBC9_9MAGN)	
Solyc08g007630	Disease resistance protein I2 (AHRD V3.3 *** Q9XET3_SOLLC)	
Solyc08g007670	Subtilisin-like protease (AHRD V3.3 *** Q9LWA3_SOLLC)	
Solyc08g007680	Subtilisin-like protease (AHRD V3.3 *** Q9LWA3_SOLLC)	
Solyc08g007710	hypothetical protein (AHRD V3.3 *** AT1G12530.1)	
Solyc08g007730	YTH domain-containing protein (AHRD V3.3 *** A0A1Q3CHK8_CEPFO)	
Solyc08g007805	NADH dehydrogenase [ubiquinone].1	
Solyc08g007860	Lysophospholipid acyltransferase.1	
Solyc08g007970	Myosin heavy chain-related protein (AHRD V3.3 *** A0A2U1QEA0_ARTAN)	
Solyc08g008000	Serine/threonine dehydratase (AHRD V3.3 *** A8J977_CHLRE)	
Solyc08g008010	Serine/threonine dehydratase (AHRD V3.3 *** A8J977_CHLRE)	
Solyc08g008030	AT-hook motif nuclear-localized protein 10 (AHRD V3.3 *** A0A2G3AP54_CAPAN)	
Solyc08g008040	rRNA-processing PIN domain protein (AHRD V3.3 *** A0A2K3MY48_TRIPR)	
Solyc08g008150	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (AHRD V3.3 *-* A0A2U1NM32_ARTAN)	
Solyc08g008170	Calcium-dependent protein kinase (AHRD V3.3 *** B2KTA5_WHEAT)	
Solyc08g008270	1-acyl-sn-glycerol-3-phosphate acyltransferase Chr1:23886152-23886987 FORWARD LENGTH=199 201606 (AHRD V3.11 *** AT1G64355.1)	
Solyc08g008310	Long chain acyl-CoA synthetase 2 (AHRD V3.3 *** A0A2G2W2V7_CAPBA)	
Solyc08g008340	Nucleoside diphosphate kinase (AHRD V3.3 *** A0A2G3AP96_CAPAN)	
Solyc08g008510	plant UBX domain-containing protein 10-like (AHRD V3.3 *** A0A1S4APS1_TOBAC)	
Solyc08g008530	Aldehyde-lyase domain (AHRD V3.3 *** A0A200QWC4_9MAGN)	
Solyc08g008550	Serine/threonine-protein kinase fray2 (AHRD V3.3 *** A0A2G3BPG3_CAPCH)	
Solyc08g013840	HAD hydrolase (AHRD V3.3 *** A0A200Q5F3_9MAGN),Pfam:PF13419	
Solyc08g150105	Glycosyltransferase (AHRD V3.3 *** A0A288W8G7_GARJA)	
Solyc08g013850	Pentatricopeptide repeat-containing protein, chloroplastic (AHRD V3.3 *** A0A2G3ANC1_CAPAN)	
Solyc08g013950	Unknown protein	
Solyc08g014010	Transmembrane protein (AHRD V3.3 *** Q1PDF2_ARATH)	
Solyc08g014040	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (AHRD V3.3 *** A0A2U1LMA1_ARTAN)	
Solyc08g014050	Glycosyltransferase (AHRD V3.3 *** A0A193AUF6_PUNGR)	
Solyc08g014060	Eukaryotic translation initiation factor 2A (AHRD V3.11 *** tr|A0A2G2W4L6|A0A2G2W4L6_CAPBA)	
Solyc08g014120	ethylene responssive protein 33	
Solyc08g014280	SUN-like protein 21	
Solyc08g014330	Amine oxidase (AHRD V3.3 *** A4GZ88_TOBAC)	
Solyc08g014350	transmembrane protein (AHRD V3.3 *** AT5G16250.1)	
Solyc08g014420	mitogen-activated protein kinase 2	
Solyc08g014430	Formin-like protein (AHRD V3.3 *** A0A2G3BR67_CAPCH)	
Solyc08g014470	Amidohydrolase family (AHRD V3.3 *** A0A2U1PLT8_ARTAN)	
Solyc08g014480	Beta-galactosidase (AHRD V3.3 *** A0A1J3H0Q0_NOCCA)	
Solyc08g014550	60S ribosomal protein L9 (AHRD V3.3 *** A0A2G3AX04_CAPCH)	
Solyc08g015620	hypothetical protein (AHRD V3.3 *** AT2G43945.1)	
Solyc08g015660	6,7-dimethyl-8-ribityllumazine synthase (AHRD V3.3 *** A0A2G2W335_CAPBA)	
Solyc08g015690	Late embryogenesis abundant protein (AHRD V3.3 *** A0A2K3L9G4_TRIPR)	
Solyc08g015870	MLO-like protein (AHRD V3.3 *** K4CJB5_SOLLC)	
Solyc08g016010	Apyrase-like protein (AHRD V3.3 *** A0MWC2_TOBAC)	
Solyc08g016060	Guanine nucleotide exchange factor SPIKE.1	
Solyc08g016210	LOW QUALITY PROTEIN: LRR receptor-like serine/threonine-protein kinase GS.1	
Solyc08g016510	Proteasome subunit alpha type (AHRD V3.3 *** A0A2G2W582_CAPBA)	
Solyc08g016587	Unknown protein	
Solyc08g016804	Unknown protein	
Solyc08g036505	Jasmonate ZIM domain protein f (AHRD V3.3 *** I3WTA4_NICAT)	
Solyc08g048550	Protease Do-like 5, chloroplastic (AHRD V3.3 *** A0A1U8DTN0_CAPAN)	
Solyc08g048510	Unknown protein	
Solyc08g048430	F-box protein (AHRD V3.3 *** A0A2G3BRT0_CAPCH)	
Solyc08g045850	Pentatricopeptide repeat (AHRD V3.3 *** A0A200RA18_9MAGN)	
Solyc08g043170	Delta-1-pyrroline-5-carboxylate synthase (AHRD V3.11 *** sp|Q96480|P5CS_SOLLC)	
Solyc08g043140	C2 domain, Arf GTPase activating protein (AHRD V3.3 *** A0A2U1KMA0_ARTAN)	
Solyc08g042140	translation initiation factor 3 subunit I (AHRD V3.3 *** AT1G54680.4)	
Solyc08g042130	Phox (PX) domain-containing protein (AHRD V3.3 *** A0A1P8B1Z4_ARATH)	
Solyc08g042120	PX domain-containing protein ERE.1	
Solyc08g042080	protein MULTIPLE CHLOROPLAST DIVISION SITE.1	
Solyc08g042050	RNA helicase DEAD25	
Solyc08g041890	Importin subunit alpha (AHRD V3.3 *** A0A1U8E1A1_CAPAN)	
Solyc08g041870	Aspartate aminotransferase (AHRD V3.3 *** A0A2G2W5G8_CAPBA)	
Solyc08g041780	Neurochondrin (AHRD V3.3 *** A0A200QBZ7_9MAGN)	
Solyc08g041710	envelope glycoprotein B (AHRD V3.3 *** AT1G80540.1)	
Solyc08g023640	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G3ADH2_CAPAN)	
Solyc08g023500	Metallo-hydrolase/oxidoreductase superfamily protein (AHRD V3.11 *** tr|A0A2U1PDH4|A0A2U1PDH4_ARTAN)	
Solyc08g023493	40S ribosomal protein S7 (AHRD V3.11 *-* tr|A0A1U8FVJ1|A0A1U8FVJ1_CAPAN)	
Solyc08g023440	Early-responsive to dehydration stress protein (ERD4) (AHRD V3.3 *** A0A2U1KBS2_ARTAN)	
Solyc08g023270	myosin heavy chain-like protein (AHRD V3.3 *** AT4G03620.2)	
Solyc08g022060	Unknown protein	
Solyc08g021870	Ankyrin repeat family protein (AHRD V3.3 *-* F8WLA0_CITUN)	
Solyc08g021820	auxin-regulated IAA29	
Solyc08g029235	Unknown protein	
Solyc08g029200	S-acyltransferase (AHRD V3.3 *** A0A2G2W4Y5_CAPBA)	
Solyc08g029190	Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein (AHRD V3.3 *** A0A1R7T3E1_ARATH)	
Solyc08g029150	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G3AWG6_CAPCH)	
Solyc08g029130	Chromatin remodeling factor (AHRD V3.3 *** A0A178UZA8_ARATH)	
Solyc08g059660	ANTH domain-containing protein (AHRD V3.3 *** A0A1Q3CZP3_CEPFO)	
Solyc08g059730	G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5 (AHRD V3.3 *** A0A1U8EHB8_CAPAN)	
Solyc08g060925	Unknown protein	
Solyc08g061060	EG45-like domain containing protein (AHRD V3.11 *** tr|A0A2K3LKU5|A0A2K3LKU5_TRIPR)	
Solyc08g061100	Cellulose synthase (AHRD V3.3 *** K4CKQ2_SOLLC)	
Solyc08g061240	Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** A0A2U1N0Y2_ARTAN)	
Solyc08g061270	DUF1677 family protein (DUF1677) (AHRD V3.3 *** Q9SK23_ARATH)	
Solyc08g061880	Peroxin 10 (AHRD V3.3 *-* A0A2U1M628_ARTAN)	
Solyc08g061930	Cytokinin oxidase/dehydrogenase (AHRD V3.3 *** C3VPM8_SOLTU)	
Solyc08g061980	Mechanosensitive ion channel protein (AHRD V3.3 *-* A0A1U8DTK7_CAPAN)	
Solyc08g062330	Ankyrin repeat family protein (AHRD V3.3 *** F8WLA0_CITUN)	
Solyc08g062370	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (AHRD V3.11 *** tr|F4I629|F4I629_ARATH)	
Solyc08g062500	protein PLASTID MOVEMENT IMPAIRED 1-RELATED.1	
Solyc08g062700	Peptidyl-prolyl cis-trans isomerase (AHRD V3.3 *** F8WL74_CITUN)	
Solyc08g062770	Methyltransferase-like protein (AHRD V3.3 *** A0A2U1NMZ7_ARTAN)	
Solyc08g062930	Calmodulin-binding protein (AHRD V3.3 *** A0A2K3LV07_TRIPR)	
Solyc08g063035	DDT domain-containing protein DDB_G0282237 (AHRD V3.3 --* XP_010321301.1)	
Solyc08g065140	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (AHRD V3.3 *** A0A2U1MMJ0_ARTAN)	
Solyc08g065190	Fe(2+) transport protein 3, chloroplastic (AHRD V3.3 *** A0A2G2YWQ8_CAPAN)	
Solyc08g065230	serine/threonine-protein kinase EDR1-like (AHRD V3.3 *-* A0A2I4GPH3_9ROSI)	
Solyc08g065410	abscisic acid receptor PYL2 (AHRD V3.11 *** tr|A0A2I4GPJ2|A0A2I4GPJ2_9ROSI)	
Solyc08g065470	ATP synthase subunit G mitochondrial-like (AHRD V3.11 *** tr|A0A2K3PQ81|A0A2K3PQ81_TRIPR)	
Solyc08g065640	PITH domain-containing protein (AHRD V3.3 *** A0A1Q3BPB8_CEPFO)	
Solyc08g065710	Vacuolar-processing enzyme (AHRD V3.3 *** A0A2G2ZDR1_CAPAN)	
Solyc08g065760	Ribosomal L28 family (AHRD V3.3 *** A0A2U1PUF0_ARTAN)	
Solyc08g065850	Unknown protein	
Solyc08g065880	3'-5' exonuclease domain-containing protein (AHRD V3.3 *** A0A2U1N5U9_ARTAN)	
Solyc08g066000	Tetratricopeptide repeat (TPR)-like superfamily protein (AHRD V3.3 *-* A0A2U1QEQ4_ARTAN)	
Solyc08g066020	Long chain base biosynthesis protein.1	
Solyc08g066040	Oleosin (AHRD V3.3 *** A0A2I4GNJ1_9ROSI)	
Solyc08g066060	Unknown protein	
Solyc08g066140	Polyribonucleotide nucleotidyltransferase (AHRD V3.11 *-* tr|A0A2U1LJN3|A0A2U1LJN3_ARTAN)	
Solyc08g066180	Haloacid dehalogenase-like hydrolase family protein (AHRD V3.3 *** A0A2U1QHW6_ARTAN)	
Solyc08g066270	receptor-like protein kinase HS.1	
Solyc08g066360	Malic enzyme (AHRD V3.3 *** A0A2G2W5J3_CAPBA)	
Solyc08g066390	SAWADEE HOMEODOMAIN protein (AHRD V3.3 *** A0A178W211_ARATH)	
Solyc08g066420	Polyketide cyclase/dehydrase and lipid transport superfamily protein (AHRD V3.3 *** A0A2U1PZR8_ARTAN)	
Solyc08g066560	Unknown protein	
Solyc08g066580	Nuclear pore complex protein NUP85 (AHRD V3.3 *** A0A2G2W614_CAPBA)	
Solyc08g066590	Late embryogenesis abundant protein-related / LEA protein-like protein (AHRD V3.3 *-* A0A178VGJ3_ARATH)	
Solyc08g066650	Carotenoid Cleavage Dioxygenase 8	
Solyc08g066700	Exosome complex exonuclease RRP46-like protein (AHRD V3.3 *** A0A1U8GGL3_CAPAN)	
Solyc08g066740	Early nodulin-like protein.1	
Solyc08g066760	Ankyrin repeat (AHRD V3.3 *** A0A200QDM7_9MAGN)	
Solyc08g066810	Cellulase (Glycosyl hydrolase family 5) protein (AHRD V3.3 *** Q9LTN0_ARATH)	
Solyc08g067030	DUF642 domain-containing protein (AHRD V3.3 *** A0A1Q3BRG3_CEPFO)	
Solyc08g067180	Zinc finger protein (AHRD V3.11 *** tr|A0A200PQI4|A0A200PQI4_9MAGN)	
Solyc08g067190	Anaphase-promoting complex subunit 5 (AHRD V3.11 *** tr|A0A2G2W608|A0A2G2W608_CAPBA)	
Solyc08g067200	Dicer-like protein 3 (AHRD V3.3 *-* X4Y6L7_SOLLC)	
Solyc08g067300	F-box family protein (AHRD V3.3 *** A0A1P8B768_ARATH)	
Solyc08g067370	serine/arginine repetitive matrix protein (AHRD V3.3 *-* AT2G46630.1)	
Solyc08g067590	CW-type Zinc Finger (AHRD V3.3 *-* AT3G62900.3)	
Solyc08g067595	Protein ROOT HAIR DEFECTIVE 3 homolog (AHRD V3.11 *-* tr|A0A2G2V8V1|A0A2G2V8V1_CAPBA)	
Solyc08g067730	Unknown protein	
Solyc08g067800	Acetyltransferase (AHRD V3.3 *** A0A2G2YXI4_CAPAN)	
Solyc08g067820	RNA-binding protein 48 (AHRD V3.3 *** A0A2I4DDN3_9ROSI)	
Solyc08g067830	Transmembrane protein 18 (AHRD V3.3 *** A0A200QPB6_9MAGN)	
Solyc08g067840	Photosystem II reaction center PsbP family protein (AHRD V3.3 *** A0A0F7GYP2_9ROSI)	
Solyc08g068030	zinc finger FYVE domain protein (AHRD V3.3 *-* AT2G25730.3)	
Solyc08g068050	DDT domain-containing protein (AHRD V3.3 *-* A0A1Q3BG21_CEPFO)	
Solyc08g068070	Two-on-two hemoglobin-3 (AHRD V3.3 *** A0A2G3BSD0_CAPCH)	
Solyc08g068090	Hemoglobin 3 (AHRD V3.3 *** A0A2U1NXZ4_ARTAN)	
Solyc08g068120	Helicase and polymerase-containing protein TEBICHI (AHRD V3.11 *** tr|A0A2G2W6E8|A0A2G2W6E8_CAPBA)	
Solyc08g068160	Flavin-containing monooxygenase (AHRD V3.3 *** D2IGV1_SOLLC)	
Solyc08g068200	GTP-binding protein (AHRD V3.11 *** tr|A0A2G2YY28|A0A2G2YY28_CAPAN)	
Solyc08g068230	Pentatricopeptide repeat-containing protein (AHRD V3.11 *** tr|A0A2G2YYD7|A0A2G2YYD7_CAPAN)	
Solyc08g068290	Sulfite exporter TauE/SafE family protein (AHRD V3.3 *** A0A2U1KY14_ARTAN)	
Solyc08g068310	La protein.1	
Solyc08g068350	transmembrane protein (AHRD V3.3 *** AT4G32750.1)	
Solyc08g068480	Auxin-responsive GH3 family protein (AHRD V3.3 *-* A0A2U1MRW5_ARTAN)	
Solyc08g068580	phospholipase D Z-like (AHRD V3.11 *** tr|A0A2I4G6P1|A0A2I4G6P1_9ROSI)	
Solyc08g068810	Ubiquitinyl hydrolase.1	
Solyc08g068820	Zinc finger CCCH domain-containing protein 22 (AHRD V3.3 *** A0A2G2W3N0_CAPBA)	
